Crack radius (m),Closure stress (Pa)
0.0008225000000000001,277653397.64336926
0.0008275000000000001,278198758.72165024
0.0008325000000000001,278744119.7999313
0.0008375,279289480.8782123
0.0008425,279834841.95649326
0.0008475000000000001,280380203.03477424
0.0008525000000000001,280925564.1130553
0.0008575000000000001,281470925.1913363
0.0008625000000000001,282016286.26961726
0.0008675000000000001,282561647.34789824
0.0008725,283107008.4261793
0.0008775,283652369.5044603
0.0008825,284197730.58274126
0.0008875,284743091.6610223
0.0008925000000000001,285288452.7393033
0.0008975000000000001,285833813.8175843
0.0009025000000000001,286379174.89586526
0.0009075000000000001,286924535.97414625
0.0009125000000000001,287469897.0524273
0.0009175000000000001,288015258.1307083
0.0009225,288778114.4628571
0.0009275,289540970.795006
0.0009325000000000001,290303827.1271549
0.0009375000000000001,291066683.45930374
0.0009425000000000001,291829539.79145265
0.0009475000000000001,292592396.1236015
0.0009525000000000001,293355252.45575035
0.0009575000000000001,294118108.78789926
0.0009625,294880965.1200481
0.0009675,295643821.45219696
0.0009725000000000001,296406677.78434587
0.0009775,297169534.1164947
0.0009825,297932390.44864357
0.0009875,298695246.7807925
0.0009925,299458103.1129413
0.0009975000000000001,300220959.44509023
0.0010025,300983815.777239
0.0010075000000000001,301746672.10938793
0.0010125,302509528.4415368
0.0010175000000000002,303272384.7736857
0.0010225,304035241.10583454
0.0010275000000000002,304798097.43798345
0.0010325,305560953.7701323
0.0010375000000000002,306323810.1022812
0.0010425,307086666.43443
0.0010475000000000003,307849522.7665789
0.0010525,308612379.09872776
0.0010575000000000003,309375235.4308767
0.0010625,310138091.7630255
0.0010675,310900948.0951744
0.0010725,311663804.4273233
0.0010775,312426660.75947213
0.0010825000000000001,313189517.09162104
0.0010875,313952373.42376983
0.0010925000000000002,314715229.75591874
0.0010975,315478086.0880676
0.0011025000000000002,316240942.4202165
0.0011075,317003798.75236535
0.0011125000000000002,317766655.08451426
0.0011175,318529511.4166631
0.0011225000000000002,319292367.748812
0.0011275,320055224.0809608
0.0011325000000000003,320818080.4131097
0.0011375,321580936.74525857
0.0011425000000000003,322343793.0774075
0.0011475,323106649.4095563
0.0011525,323869505.7417052
0.0011575000000000001,324632362.0738541
0.0011625,325395218.4060029
0.0011675000000000001,326158074.7381518
0.0011725,326920931.07030064
0.0011775000000000002,327683787.40244955
0.0011825,328446643.7345984
0.0011875000000000002,329209500.0667473
0.0011925,329972356.39889616
0.0011975000000000002,330735212.73104507
